01010010,Kita F.A.I.R.play,Albrechtstr. 020,281 64 73
01010020,Kita Kinderwelt,An der Kolonnade 003-5,229 13 78
01010030,FR oeBEL Kindergarten "Casa Fantasia",Anklamer Str. 038,44 98 171
01010080,Kita Regenbogen/Pfefferwerk Stadtkultur gGmbH,Fehrbelliner Str. 080,449 32 38
01010100,FR oeBEL Kindergarten "Schatzinsel",Fischerinsel 008,201 37 88
01010110,Kita Franz oesische Str. 16a u. 16b/Kinder im Kiez gGmbH,Franz oesische Str. 016,2089214
01010120,Kita der Humboldt-Universit aet zu Berlin,Monbijoustr. 003,2093 1984
01010130,Kita Pelikan/Kinder- u. Jugend gGmbH d.Volkssolidarit aet,Friedrichstr. 129f/g,282 43 85
01010150,Kita Gartenstr. 107/Kig ae City,Gartenstr. 107,2828337
01010170,Kita der GFJ-gem.Gesellschaft f uer Familien- und Jugendhilfe mbH,Habersaathstr. 013,282 44 96
01010180,Lichtenberger Strasse 32/33,Lichtenberger Str. 032-33,2492179
01010200,Kita Jerusalemer Str. 10/12/Kig ae City,Jerusalemer Str. 010,20216803
01010210,Kita Kleine Auguststr. 10/11Kig ae City,Kleine Auguststr. 011-10,2826045
01010250,Kita Max-Beer-Str. 24/26/Kig ae City,Max-Beer-Str. 024-26,2476849
01010280,FR oeBEL Kindergarten "Traumzauberbaum",Mollstr. 7A,241 91 56
01010290,Kita des Ausw aertigen Amtes (NUR f uer Bedienstete des Ausw aertigen Amtes),J aegerstr. 025,8173856
01010330,Kita Umka/MITRA e.V.,Leipziger Str. 047,0176/83176995
01010360,Kita Rheinsberger Str. 34/35/Kinder im Kiez gGmbH,Rheinsberger Str. 034- 35,449 34 59
01010390,Kindertagesst aette Pfiffikus / BIK e.V.,R ueckerstr. 002,2830 57224
01010410,Kita Trauminsel,Schmidstr. 002,279 40 09
01010430,Kita Alegria,Schmidstr. 004,2463 99 98
01010450,Kita Villa Murkelmeier,Sebastianstr. 022,279 26 68
01010460,Kita Pusteblume,Sebastianstr. 023,279 22 10
01010470,Kita Veteranenstr. 10/Kig ae City,Veteranenstr. 010,47378193
01010500,Kita Weydemeyerstr. 20/Kig ae City,Weydemeyerstr. 020,2419151
01010550,Kita Oase/Pfefferwerk Stadtkultur gGmbH,Kastanienallee 063A,449 72 89
01010560,Kita St. Elisabeth,Elisabethkirchstr. 021,449 65 27
01010570,Zions-Kindergarten,Griebenowstr. 016,449 04 16
01010580,Ev. Kita Sophien,Grosse Hamburger Str. 028,3087 9215
01010590,Kindergarten Alegria Jardin infantil,Mohrenstr. 007,2091 7980
01010600,Kita St. Petri,Neue Gr uenstr. 019,279 14 11
01010620,INA.KINDER.GARTEN Habersaathstrasse,Habersaathstr. 005,282 35 35
01010630,Kita Kinderinsel,Eichendorffstr. 017,41716928
01010640,Kinderladen Rosenthaler Vorstadt,Wolliner Str. 060,5471 3948
01010720,Kita F uerstenberger Str. 4/5/Kig ae City,F uerstenberger Str. 004,34620678
01010810,EKT - Rosinante e.V.,Strelitzer Str. 071,9120 6890
01010830,EKT - "Pippi Langstrumpf" e.V.,Krausnickstr. 003A,247 92 52
01010850,Kita Cavalo-Marinho/Portubi e.V.,Anklamer Str. 046,4849 1840
01010860,Berlin Cosmopolitan School  Kindergarten & Preschool,R ueckerstr. 009,688332320
01010870,EKT Oskar Kirschkern e.V. (Seitenfl uegel/Quergeb aeude),Anklamer Str. 029,4627116/76008843
01010880,Kita Schneckenhaus/Montessori-Kila Mitte e.V.,Krausnickstr. 005,
01010890,Kindergarten Alegria,Vossstr. 012,3259 3871
01010900,Fliederhof Waldorfkindergarten Berlin-Mitte,Zionskirchstr. 049,5036 8401
01010930,Kita/Kinderg aerten City,Fehrbelliner Str. 051,36449900
01010940,EKT NaturKindergarten Berlin Mitte e.V.,Krausnickstr. 011, 275 960 89
01010950,Musikkindergarten Berlin / Kita,Leipziger Str. 041,700 84 892
01010960,EKT Paul Kirschkern/Vorderhaus,Anklamer Str. 029,41 71 40 50
01010980,Berlin Metropolitan Preschool gGmbH,Linienstr. 122-124, 8872 739 18
01011000,Lauder Nitzan Kindergarten/Yeshivat Beit Zion-Lauder J uedisches Lehrhaus gGmbH,Brunnenstr. 033,4050 46925
01011020,Kita CASA AZUL - MAISON BLEUE e.V.,Reinhardtstr. 031,8520056
01011030,Kita Torstrasse/be smart academy e.V.,Torstr. 134,24628214
01011050,Kita des Bundesministeriums f uer Familie  Senioren  Frauen und Jugend,Glinkastrasse 24,206551396
01011090,El mundo de los ninos,Brunnenstr. 030,015775764079
01011140,Kinderladen Piraterie,Anklamer Str. 022,
01011150,Kita Adalbertstrasse 24,Adalbertstr. 024,
01011160,FR oeBEL Kindergarten "Mittendrin",Borsigstr. 032/34,28500856
01011170,Kinderinsel MITTEndrin,Garnisonkirchplatz 002,24723369
01011180,Kindertagesst aette im Bundesministerium f uer Arbeit und Soziales,Wilhelmstr. 049,185275834
01011190,Kila Spreepferdchen,K oepenicker Str. 045,24088849
01011210,Kindergarten im Park,Invalidenstr. 130,688332340
01011220,Kita Wilhelmine Bundesministerium f uer Ern aehrung  Landwirtschaft  Verbraucherschutz,Wilhelmstr. 054,22488097
01011230,Kinderinsel am Garnisonkirchplatz,Garnisonkirchplatz 002,24723369
01011250,Kinderinsel Ziegelstrasse,Ziegelstr. 027,98324329
01020010,Kita Fantasia,Bredowstr. 027A,3989 5301
